100,0.01,1,5,98
100,0.01,2,10,96
100,0.01,3,5,96
100,0.01,4,6,94
100,0.01,5,9,92
100,0.01,6,5,93
100,0.01,7,7,91
100,0.01,8,8,90
100,0.01,9,5,90
100,0.01,10,5,89
100,0.01,11,5,88
100,0.01,12,5,87
100,0.01,13,5,86
100,0.01,14,5,85
100,0.01,15,5,84
100,0.01,16,5,83
100,0.01,17,5,82
100,0.01,18,5,81
100,0.01,19,5,80
100,0.01,20,5,79
100,0.01,21,15,75
100,0.01,22,6,76
100,0.01,23,5,76
100,0.01,24,9,74
100,0.01,25,5,74
100,0.01,26,9,71
100,0.01,27,5,72
100,0.01,28,5,71
100,0.01,29,5,70
100,0.01,30,10,68
100,0.01,31,5,68
100,0.01,32,5,67
100,0.01,33,5,66
100,0.01,34,5,65
100,0.01,35,5,64
100,0.01,36,5,63
100,0.01,37,5,62
100,0.01,38,10,59
100,0.01,39,5,60
100,0.01,40,5,59
100,0.01,41,5,58
100,0.01,42,10,56
100,0.01,43,5,56
100,0.01,44,5,55
100,0.01,45,5,54
100,0.01,46,5,53
100,0.01,47,5,52
100,0.01,48,5,51
100,0.01,49,14,47
100,0.01,50,5,49
100,0.01,51,5,48
100,0.01,52,5,47
100,0.01,52,5,47
100,0.01,54,5,45
100,0.01,55,5,44
100,0.01,56,5,43
100,0.01,57,5,42
100,0.01,58,5,41
100,0.01,58,5,41
100,0.01,60,5,39
100,0.01,61,6,37
100,0.01,62,5,37
100,0.01,63,5,36
100,0.01,64,5,35
100,0.01,65,5,34
100,0.01,66,6,32
100,0.01,67,5,32
100,0.01,68,5,31
100,0.01,69,5,30
100,0.01,70,5,29
100,0.01,71,5,28
100,0.01,72,6,26
100,0.01,73,5,26
100,0.01,74,5,25
100,0.01,75,5,24
100,0.01,76,5,23
100,0.01,77,5,22
100,0.01,78,5,21
100,0.01,79,5,20
100,0.01,80,5,19
100,0.01,81,5,18
100,0.01,82,5,17
100,0.01,83,5,16
100,0.01,84,5,15
100,0.01,85,5,14
100,0.01,86,5,13
100,0.01,87,5,12
